event_number,event_year,discipline,category,date,n_participants,n_country_participants,gold_medalist,gold_country,silver_medalist,silver_country,bronze_medalist,bronze_country
I ,1924,Figure Skating,"Pairs, Mixed",31 January 1924,18,7,Austria,AUT,Finland,FIN,France 1,FRA
I ,1924,Military Ski Patrol,"Military Ski Patrol, Men",29 January 1924,24,6,Switzerland,SUI,Finland,FIN,France,FRA
I ,1924,Cross Country Skiing,"50 kilometres, Men",30 January 1924,33,11,Thorleif Haug,NOR,Thoralf Strømstad,NOR,Johan Grøttumsbraaten,NOR
I ,1924,Cross Country Skiing,"18 kilometres, Men", 2 February 1924,41,12,Thorleif Haug,NOR,Johan Grøttumsbraaten,NOR,Tapani Niku,FIN
I ,1924,Speed Skating,"Allround, Men",26 – 27 January 1924,23,9,Clas Thunberg,FIN,Roald Larsen,NOR,Julius Skutnabb,FIN
I ,1924,Speed Skating,"10,000 metres, Men",27 January 1924,16,6,Julius Skutnabb,FIN,Clas Thunberg,FIN,Roald Larsen,NOR
I ,1924,Speed Skating,"5,000 metres, Men",26 January 1924,22,10,Clas Thunberg,FIN,Julius Skutnabb,FIN,Roald Larsen,NOR
I ,1924,Speed Skating,"1,500 metres, Men",27 January 1924,22,9,Clas Thunberg,FIN,Roald Larsen,NOR,Sigurd Moen,NOR
I ,1924,Speed Skating,"500 metres, Men",26 January 1924,27,10,Charley Jewtraw,USA,Oskar Olsen,NOR,Clas Thunberg,FIN
I ,1924,Ice Hockey,"Ice Hockey, Men",28 January –  3 February 1924,81,8,Canada,CAN,United States,USA,Great Britain,GBR
I ,1924,Bobsleigh,"Four/Five, Men",2 –  3 February 1924,39,5,Switzerland 1,SUI,Great Britain 1,GBR,Belgium 1,BEL
I ,1924,Ski Jumping,"Normal Hill, Individual, Men", 4 February 1924,27,9,Jacob Tullin Thams,NOR,Narve Bonna,NOR,Anders Haugen,USA
I ,1924,Nordic Combined,"Individual, Men",2 –  4 February 1924,30,9,Thorleif Haug,NOR,Thoralf Strømstad,NOR,Johan Grøttumsbraaten,NOR
I ,1924,Figure Skating,"Singles, Women",28 – 29 January 1924,8,6,Herma Planck-Szabo,AUT,Beatrix Loughran,USA,Ethel Muckelt,GBR
I ,1924,Figure Skating,"Singles, Men",29 – 30 January 1924,11,9,Gillis Grafström,SWE,Willy Böckl,AUT,Georges Gautschi,SUI
I ,1924,Alpinism,"Alpinism, Open", 4 February 1924,21,4,Mixed team,MIX,—,,—,
I ,1924,Curling,"Curling, Men",28 – 30 January 1924,16,3,Great Britain,GBR,Sweden,SWE,France,FRA
II ,1928,Speed Skating,"5,000 metres, Men",13 February 1928,33,14,Ivar Ballangrud,NOR,Julius Skutnabb,FIN,Bernt Evensen,NOR
II ,1928,Speed Skating,"1,500 metres, Men",14 February 1928,30,14,Clas Thunberg,FIN,Bernt Evensen,NOR,Ivar Ballangrud,NOR
II ,1928,Speed Skating,"500 metres, Men",13 February 1928,33,14,Clas Thunberg,FIN,—,,Jaakko Friman,FIN
II ,1928,Cross Country Skiing,"50 kilometres, Men",14 February 1928,41,11,Per Erik Hedlund,SWE,Gustaf Jonsson,SWE,Volger Andersson,SWE
